,Colorspace,Orientations,Pixels Per Cell,Cells Per Block,HOG Channel,Feature extracted,Extract Time,Accuracy
0,YUV,7,4,2,0,6300,70.18,0.9626
1,YUV,7,4,2,ALL,18900,171.8,0.9786
0,YUV,7,8,2,0,1372,33.71,0.9626
1,YUV,7,8,2,ALL,4116,64.93,0.9794
0,YUV,7,12,2,0,448,20.62,0.9471
1,YUV,7,12,2,ALL,1344,44.33,0.9764
0,YUV,7,16,2,0,252,20.04,0.9505
1,YUV,7,16,2,ALL,756,42.11,0.9775
0,YUV,9,4,2,0,8100,64.23,0.9521
1,YUV,9,4,2,ALL,24300,175.56,0.9837
0,YUV,9,8,2,0,1764,35.14,0.9659
1,YUV,9,8,2,ALL,5292,68.97,0.9806
0,YUV,9,12,2,0,576,21.47,0.9431
1,YUV,9,12,2,ALL,1728,46.42,0.9786
0,YUV,9,16,2,0,324,21.14,0.9521
1,YUV,9,16,2,ALL,972,44.48,0.978
0,YUV,11,4,2,0,9900,66.11,0.9654
1,YUV,11,4,2,ALL,29700,180.66,0.9848
0,YUV,11,8,2,0,2156,40.52,0.9609
1,YUV,11,8,2,ALL,6468,1099.34,0.9868
0,YUV,11,12,2,0,704,21.91,0.9535
1,YUV,11,12,2,ALL,2112,50.24,0.984
0,YUV,11,16,2,0,396,21.09,0.9516
1,YUV,11,16,2,ALL,1188,45.39,0.9825
0,HLS,7,4,2,0,6300,62.36,0.9122
1,HLS,7,4,2,ALL,18900,169.45,0.9789
0,HLS,7,8,2,0,1372,35.41,0.9243
1,HLS,7,8,2,ALL,4116,65.87,0.9789
0,HLS,7,12,2,0,448,21.68,0.9119
1,HLS,7,12,2,ALL,1344,45.34,0.9769
0,HLS,7,16,2,0,252,20.58,0.9057
1,HLS,7,16,2,ALL,756,42.64,0.9747
0,HLS,9,4,2,0,8100,63.97,0.915
1,HLS,9,4,2,ALL,24300,177.57,0.9803
0,HLS,9,8,2,0,1764,35.63,0.9254
1,HLS,9,8,2,ALL,5292,69.14,0.9834
0,HLS,9,12,2,0,576,22.36,0.9057
1,HLS,9,12,2,ALL,1728,48.4,0.9735
0,HLS,9,16,2,0,324,21.53,0.904
1,HLS,9,16,2,ALL,972,45.66,0.9775
0,HLS,11,4,2,0,9900,67.58,0.9099
1,HLS,11,4,2,ALL,29700,184.32,0.9842
0,HLS,11,8,2,0,2156,36.21,0.9358
1,HLS,11,8,2,ALL,6468,74.77,0.9783
0,HLS,11,12,2,0,704,23.26,0.9161
1,HLS,11,12,2,ALL,2112,52.2,0.9786
0,HLS,11,16,2,0,396,22.52,0.9085
1,HLS,11,16,2,ALL,1188,47.92,0.9794
0,LUV,7,4,2,0,6300,65.03,0.9538
1,LUV,7,4,2,ALL,18900,175.0,0.973
0,LUV,7,8,2,0,1372,38.01,0.9606
1,LUV,7,8,2,ALL,4116,83.14,0.9738
0,LUV,7,12,2,0,448,33.17,0.9507
1,LUV,7,12,2,ALL,1344,56.8,0.9702
0,LUV,7,16,2,0,252,22.92,0.9389
1,LUV,7,16,2,ALL,756,45.3,0.9735
